name,buy_price_per_unit,pack_size,pack_price
Radegast 0.5 12,28.00,24,672.00
Radegast 0.5l 10,24.00,24,576.00
Pilsner Urquell 0.5l,32.00,24,768.00
Birell nealko 0.5l,22.00,24,528.00
Branik 2l,38.00,12,456.00
Monster Energy 0.5l,42.00,24,1008.00
Monster Ultra Zero 0.5,42.00,24,1008.00
Red Bull 0.25l,42.00,24,1008.00
Jack Daniels Black 0.7l,420.00,6,2520.00
Jack Daniels Honey 0.7l,420.00,6,2520.00
Jagermeister 0.7l,295.00,6,1770.00
Jagermeister 0.5l,255.00,6,1530.00
Beefeater Pink Gin 0.7l,320.00,6,1920.00
Finlandia Vodka 0.7l,295.00,6,1770.00
Captain Morgan Spiced 0.7l,265.00,6,1590.00
Amundsen Vodka 0.5l,175.00,6,1050.00
Bozkov Original 0.5l,158.00,6,948.00
Coca-Cola 1.5l,38.00,8,304.00
Coca-Cola 2l zero,42.00,8,336.00
Schweppes 1.5l,32.00,8,256.00
Aquila voda 1.5l,18.00,12,216.00
Top Topic Malina 1.5l,25.00,12,300.00
Lay's 60g,32.00,20,640.00
Arasidy solene,30.00,15,450.00
Marlboro Red,128.00,10,1280.00
LM Blue Label,120.00,10,1200.00
Kinder Bueno White,32.00,30,960.00
Znovin Ryzlink rynsky 0.75,110.00,6,660.00
Znovin Sauvignon 0.75,110.00,6,660.00
Bohemia Sekt brut,165.00,6,990.00
